time,x,y,z
1.82,-0.908663,-3.02892,2
1.83,-0.944943,-3.01779,2
1.84,-0.981088,-3.00624,2
1.85,-1.01709,-2.99425,2
1.86,-1.05295,-2.98183,2
1.87,-1.08865,-2.96898,2
1.88,-1.1242,-2.9557,2
1.89,-1.15959,-2.942,2
1.9,-1.19481,-2.92787,2
1.91,-1.22986,-2.91332,2
1.92,-1.26473,-2.89836,2
1.93,-1.29941,-2.88297,2
1.94,-1.33392,-2.86717,2
1.95,-1.36823,-2.85096,2
1.96,-1.40234,-2.83433,2
1.97,-1.43625,-2.8173,2
1.98,-1.46995,-2.79987,2
1.99,-1.50344,-2.78202,2
2,-1.53672,-2.76378,2
2.01,-1.56977,-2.74514,2
2.02,-1.6026,-2.72611,2
2.03,-1.6352,-2.70668,2
2.04,-1.66756,-2.68687,2
2.05,-1.69968,-2.66666,2
2.06,-1.73156,-2.64607,2
2.07,-1.76318,-2.62511,2
2.08,-1.79456,-2.60376,2
2.09,-1.82567,-2.58204,2
2.1,-1.85653,-2.55994,2
2.11,-1.88711,-2.53748,2
2.12,-1.91742,-2.51465,2
2.13,-1.94746,-2.49146,2
2.14,-1.97722,-2.46792,2
2.15,-2.00669,-2.44401,2
2.16,-2.03587,-2.41976,2
2.17,-2.06476,-2.39515,2
2.18,-2.09335,-2.3702,2
2.19,-2.12165,-2.34491,2
2.2,-2.14963,-2.31929,2
2.21,-2.17731,-2.29332,2
2.22,-2.20467,-2.26703,2
2.23,-2.23171,-2.24041,2
2.24,-2.25844,-2.21347,2
2.25,-2.28484,-2.18621,2
2.26,-2.31091,-2.15864,2
2.27,-2.33664,-2.13075,2
2.28,-2.36204,-2.10256,2
2.29,-2.3871,-2.07406,2
2.3,-2.41182,-2.04527,2
2.31,-2.43619,-2.01618,2
2.32,-2.46021,-1.9868,2
2.33,-2.48387,-1.95714,2
2.34,-2.50718,-1.92719,2
2.35,-2.53012,-1.89697,2
2.36,-2.5527,-1.86647,2
2.37,-2.57492,-1.8357,2
2.38,-2.59676,-1.80467,2
2.39,-2.61823,-1.77338,2
2.4,-2.63932,-1.74184,2
2.41,-2.66003,-1.71004,2
2.42,-2.68036,-1.678,2
2.43,-2.7003,-1.64571,2
2.44,-2.71985,-1.61319,2
2.45,-2.73902,-1.58044,2
2.46,-2.75778,-1.54746,2
2.47,-2.77615,-1.51425,2
2.48,-2.79413,-1.48083,2
2.49,-2.81169,-1.4472,2
2.5,-2.82886,-1.41335,2
2.51,-2.84561,-1.37931,2
2.52,-2.86196,-1.34506,2
2.53,-2.87789,-1.31062,2
2.54,-2.89341,-1.27599,2
2.55,-2.90852,-1.24118,2
2.56,-2.9232,-1.20619,2
2.57,-2.93747,-1.17102,2
2.58,-2.95131,-1.13569,2
2.59,-2.96472,-1.10019,2
2.6,-2.97771,-1.06454,2
2.61,-2.99027,-1.02873,2
2.62,-3.0024,-0.992775,2
2.63,-3.0141,-0.956676,2
2.64,-3.02536,-0.920439,2
2.65,-3.03619,-0.884069,2
2.66,-3.04658,-0.847572,2
2.67,-3.05653,-0.810953,2
2.68,-3.06604,-0.774217,2
2.69,-3.07511,-0.73737,2
2.7,-3.08373,-0.700416,2
2.71,-3.09192,-0.663362,2
2.72,-3.09965,-0.626212,2
2.73,-3.10695,-0.588972,2
2.74,-3.11379,-0.551647,2
2.75,-3.12019,-0.514243,2
2.76,-3.12613,-0.476764,2
