time,vx,vy,vz,px,py,pz
1.37,0,0,186.574,0,0,264.736
1.38,0,0,186.476,0,0,266.601
1.39,0,0,186.378,0,0,268.465
1.4,0,0,186.28,0,0,270.327
1.41,0,0,186.182,0,0,272.189
1.42,0,0,186.084,0,0,274.05
1.43,0,0,185.986,0,0,275.91
1.44,0,0,185.888,0,0,277.769
1.45,0,0,185.79,0,0,279.627
1.46,0,0,185.692,0,0,281.484
1.47,0,0,185.594,0,0,283.34
1.48,0,0,185.496,0,0,285.195
1.49,0,0,185.398,0,0,287.048
1.5,0,0,185.3,0,0,288.901
1.51,0,0,185.202,0,0,290.754
1.52,0,0,185.104,0,0,292.605
1.53,0,0,185.006,0,0,294.455
1.54,0,0,184.908,0,0,296.304
1.55,0,0,184.81,0,0,298.152
1.56,0,0,184.712,0,0,299.999
1.57,0,0,184.614,0,0,301.845
1.58,0,0,184.516,0,0,303.69
1.59,0,0,184.418,0,0,305.534
1.6,0,0,184.32,0,0,307.378
1.61,0,0,184.222,0,0,309.22
1.62,0,0,184.124,0,0,311.061
1.63,0,0,184.026,0,0,312.901
1.64,0,0,183.928,0,0,314.741
1.65,0,0,183.83,0,0,316.579
1.66,0,0,183.732,0,0,318.416
1.67,0,0,183.634,0,0,320.253
1.68,0,0,183.536,0,0,322.088
1.69,0,0,183.438,0,0,323.922
1.7,0,0,183.34,0,0,325.756
1.71,0,0,183.242,0,0,327.588
1.72,0,0,183.144,0,0,329.42
1.73,0,0,183.046,0,0,331.25
1.74,0,0,182.948,0,0,333.079
1.75,0,0,182.85,0,0,334.908
1.76,0,0,182.752,0,0,336.736
1.77,0,0,182.654,0,0,338.562
1.78,0,0,182.556,0,0,340.388
1.79,0,0,182.458,0,0,342.212
1.8,0,0,182.36,0,0,344.036
1.81,0,0,182.262,0,0,345.858
1.82,0,0,182.164,0,0,347.68
1.83,0,0,182.066,0,0,349.501
1.84,0,0,181.968,0,0,351.32
1.85,0,0,181.87,0,0,353.139
1.86,0,0,181.772,0,0,354.957
1.87,0,0,181.674,0,0,356.774
1.88,0,0,181.576,0,0,358.589
1.89,0,0,181.478,0,0,360.404
1.9,0,0,181.38,0,0,362.218
1.91,0,0,181.282,0,0,364.031
1.92,0,0,181.184,0,0,365.843
1.93,0,0,181.086,0,0,367.653
1.94,0,0,180.988,0,0,369.463
1.95,0,0,180.89,0,0,371.272
1.96,0,0,180.792,0,0,373.08
1.97,0,0,180.694,0,0,374.887
1.98,0,0,180.596,0,0,376.693
1.99,0,0,180.498,0,0,378.498
2,0,0,180.4,0,0,380.302
2.01,0,0,180.302,0,0,382.105
2.02,0,0,180.204,0,0,383.907
2.03,0,0,180.106,0,0,385.708
2.04,0,0,180.008,0,0,387.508
2.05,0,0,179.91,0,0,389.307
2.06,0,0,179.812,0,0,391.105
2.07,0,0,179.714,0,0,392.903
2.08,0,0,179.616,0,0,394.699
2.09,0,0,179.518,0,0,396.494
2.1,0,0,179.42,0,0,398.288
2.11,0,0,179.322,0,0,400.081
2.12,0,0,179.224,0,0,401.874
2.13,0,0,179.126,0,0,403.665
2.14,0,0,179.028,0,0,405.455
2.15,0,0,178.93,0,0,407.244
2.16,0,0,178.832,0,0,409.033
2.17,0,0,178.734,0,0,410.82
2.18,0,0,178.636,0,0,412.606
2.19,0,0,178.538,0,0,414.392
2.2,0,0,178.44,0,0,416.176
2.21,0,0,178.342,0,0,417.96
2.22,0,0,178.244,0,0,419.742
2.23,0,0,178.146,0,0,421.524
2.24,0,0,178.048,0,0,423.304
2.25,0,0,177.95,0,0,425.083
2.26,0,0,177.852,0,0,426.862
2.27,0,0,177.754,0,0,428.64
2.28,0,0,177.656,0,0,430.416
2.29,0,0,177.558,0,0,432.192
2.3,0,0,177.46,0,0,433.966
2.31,0,0,177.362,0,0,435.74
2.32,0,0,177.264,0,0,437.513
2.33,0,0,177.166,0,0,439.284
2.34,0,0,177.068,0,0,441.055
2.35,0,0,176.97,0,0,442.825
2.36,0,0,176.872,0,0,444.593
2.37,0,0,176.774,0,0,446.361
2.38,0,0,176.676,0,0,448.128
2.39,0,0,176.578,0,0,449.894
2.4,0,0,176.48,0,0,451.658
2.41,0,0,176.382,0,0,453.422
2.42,0,0,176.284,0,0,455.185
2.43,0,0,176.186,0,0,456.947
2.44,0,0,176.088,0,0,458.708
2.45,0,0,175.99,0,0,460.468
2.46,0,0,175.892,0,0,462.227
2.47,0,0,175.794,0,0,463.985
2.48,0,0,175.696,0,0,465.742
2.49,0,0,175.598,0,0,467.497
2.5,0,0,175.5,0,0,469.252
2.51,0,0,175.402,0,0,471.007
2.52,0,0,175.304,0,0,472.76
2.53,0,0,175.206,0,0,474.512
2.54,0,0,175.108,0,0,476.263
2.55,0,0,175.01,0,0,478.013
2.56,0,0,174.912,0,0,479.762
2.57,0,0,174.814,0,0,481.51
2.58,0,0,174.716,0,0,483.257
2.59,0,0,174.618,0,0,485.003
2.6,0,0,174.52,0,0,486.749
2.61,0,0,174.422,0,0,488.493
2.62,0,0,174.324,0,0,490.236
2.63,0,0,174.226,0,0,491.978
2.64,0,0,174.128,0,0,493.72
2.65,0,0,174.03,0,0,495.46
2.66,0,0,173.932,0,0,497.199
2.67,0,0,173.834,0,0,498.938
