x,y
-0.645248,0.343536
-0.656957,0.330003
-0.66778,0.31636
-0.677696,0.302612
-0.686687,0.288762
-0.694736,0.274816
-0.701826,0.260776
-0.707943,0.246645
-0.713076,0.232427
-0.717214,0.218124
-0.720347,0.203741
-0.72247,0.189279
-0.723577,0.174741
-0.723665,0.16013
-0.722733,0.145449
-0.72078,0.130702
-0.717811,0.11589
-0.713827,0.101018
-0.708837,0.0860879
-0.702847,0.0711047
-0.695867,0.0560718
-0.687909,0.0409936
-0.678986,0.0258747
-0.669111,0.0107201
-0.658303,-0.00446489
-0.646579,-0.0196743
-0.633959,-0.0349019
-0.620464,-0.0501409
-0.606116,-0.0653839
-0.590941,-0.0806231
-0.574963,-0.0958501
-0.558209,-0.111056
-0.540707,-0.126231
-0.522487,-0.141365
-0.503579,-0.156448
-0.484014,-0.171467
-0.463825,-0.186412
-0.443045,-0.201268
-0.421708,-0.216024
-0.399848,-0.230666
-0.377502,-0.245178
-0.354705,-0.259546
-0.331493,-0.273755
-0.307905,-0.287788
-0.283976,-0.301628
-0.259745,-0.315259
-0.235249,-0.328663
-0.210526,-0.341822
-0.185613,-0.354717
-0.160549,-0.367329
-0.13537,-0.37964
-0.110115,-0.391629
-0.0848199,-0.403278
-0.0595215,-0.414566
-0.0342558,-0.425472
-0.00905869,-0.435977
0.016035,-0.446061
0.0409908,-0.455703
0.0657752,-0.464882
0.0903553,-0.47358
0.114699,-0.481774
0.138776,-0.489447
0.162555,-0.496578
0.186007,-0.503148
0.209105,-0.509138
0.231821,-0.51453
0.254129,-0.519307
0.276006,-0.52345
0.297426,-0.526944
0.318369,-0.529772
0.338812,-0.531919
0.358737,-0.533372
0.378125,-0.534116
0.396958,-0.534138
0.415221,-0.533429
0.432899,-0.531976
0.449979,-0.52977
0.466449,-0.526804
0.482299,-0.52307
0.497518,-0.518563
0.5121,-0.513277
0.526037,-0.507209
0.539323,-0.500358
0.551956,-0.492723
0.56393,-0.484304
0.575245,-0.475104
0.5859,-0.465128
0.595895,-0.454379
0.605231,-0.442865
0.613911,-0.430593
0.621938,-0.417574
0.629317,-0.403819
0.636052,-0.389341
0.642151,-0.374154
0.647619,-0.358273
0.652465,-0.341716
0.656697,-0.324502
0.660324,-0.30665
0.663356,-0.288183
0.665803,-0.269124
0.667675,-0.249497
0.668984,-0.229328
0.669741,-0.208644
0.669959,-0.187474
0.669649,-0.165846
0.668823,-0.143792
0.667495,-0.121344
0.665677,-0.0985342
0.663382,-0.0753971
0.660623,-0.0519674
0.657412,-0.0282809
0.653763,-0.00437403
0.649688,0.0197158
0.645199,0.0439507
0.64031,0.0682922
0.635031,0.0927011
0.629376,0.117138
0.623356,0.141563
0.616982,0.165937
0.610265,0.190218
0.603216,0.214367
0.595845,0.238343
0.588163,0.262106
0.580178,0.285616
0.571899,0.308833
0.563336,0.331717
0.554496,0.35423
0.545387,0.376332
0.536017,0.397985
0.526392,0.419153
0.516518,0.439799
0.506402,0.459886
0.49605,0.47938
0.485465,0.498248
0.474654,0.516455
0.463619,0.533971
0.452366,0.550765
0.440898,0.566807
0.429218,0.58207
0.417329,0.596528
0.405234,0.610154
0.392936,0.622926
0.380436,0.634822
0.367738,0.645821
0.354842,0.655903
0.341751,0.665053
0.328467,0.673255
0.314992,0.680494
0.301327,0.686759
0.287474,0.692041
0.273436,0.696329
0.259215,0.699619
0.244813,0.701905
0.230232,0.703185
0.215475,0.703457
0.200546,0.702722
0.185447,0.700984
0.170183,0.698245
0.154758,0.694513
0.139177,0.689796
0.123444,0.684103
0.107565,0.677446
0.0915463,0.669838
0.0753949,0.661293
0.0591178,0.651829
0.0427231,0.641462
0.0262191,0.630213
0.00961528,0.618102
-0.00707861,0.605152
-0.023852,0.591385
-0.0406935,0.576828
-0.0575913,0.561507
-0.0745326,0.545448
-0.0915039,0.52868
-0.108491,0.511232
-0.12548,0.493135
-0.142454,0.47442
-0.159397,0.455118
-0.176293,0.435264
-0.193123,0.414889
-0.20987,0.394028
-0.226514,0.372716
-0.243037,0.350987
-0.259417,0.328876
-0.275635,0.306418
-0.291669,0.28365
-0.307497,0.260607
-0.323098,0.237324
-0.338449,0.213837
-0.353528,0.190182
-0.36831,0.166393
-0.382773,0.142506
-0.396893,0.118555
-0.410646,0.0945746
-0.424009,0.0705982
-0.436958,0.0466589
-0.449468,0.0227892
-0.461516,-0.000979143
-0.473079,-0.024615
-0.484133,-0.0480882
-0.494654,-0.0713693
-0.504621,-0.0944298
-0.51401,-0.117242
-0.522799,-0.139779
-0.530968,-0.162016
-0.538494,-0.183928
-0.545359,-0.205492
-0.551542,-0.226684
-0.557025,-0.247485
-0.561791,-0.267873
-0.565821,-0.28783
-0.5691,-0.307339
-0.571613,-0.326382
-0.573347,-0.344944
-0.574288,-0.363011
-0.574424,-0.380571
-0.573747,-0.397611
-0.572246,-0.414121
-0.569913,-0.430091
-0.566743,-0.445513
-0.562731,-0.46038
-0.557872,-0.474686
-0.552166,-0.488426
-0.545611,-0.501597
-0.538209,-0.514194
-0.529962,-0.526218
-0.520874,-0.537666
-0.510951,-0.548538
-0.500201,-0.558837
-0.488632,-0.568563
-0.476255,-0.577719
-0.463083,-0.586309
-0.449128,-0.594337
-0.434406,-0.601808
-0.418935,-0.608726
-0.402732,-0.615099
-0.385819,-0.620932
-0.368216,-0.626233
-0.349946,-0.631009
-0.331034,-0.635268
-0.311506,-0.639019
-0.29139,-0.642269
-0.270713,-0.645027
-0.249506,-0.647302
-0.227799,-0.649104
-0.205626,-0.650441
-0.183019,-0.651323
-0.160014,-0.651759
-0.136644,-0.651758
-0.112948,-0.651329
-0.088961,-0.65048
-0.064722,-0.649222
-0.0402696,-0.647563
-0.0156429,-0.64551
0.00911838,-0.643073
0.0339739,-0.640258
0.058883,-0.637075
0.0838049,-0.633529
0.108698,-0.629629
0.133522,-0.62538
0.158236,-0.620789
0.182797,-0.615862
0.207165,-0.610604
0.231299,-0.60502
0.255159,-0.599116
0.278705,-0.592894
0.301896,-0.58636
0.324695,-0.579517
0.347062,-0.572367
0.36896,-0.564914
0.390352,-0.55716
0.411203,-0.549107
0.431477,-0.540757
0.45114,-0.532111
0.47016,-0.52317
0.488505,-0.513936
0.506145,-0.504408
0.52305,-0.494587
0.539194,-0.484475
0.554549,-0.47407
0.569092,-0.463373
0.582798,-0.452384
0.595647,-0.441103
0.607618,-0.429529
0.618693,-0.417664
0.628855,-0.405507
0.638089,-0.393058
0.646383,-0.380319
0.653724,-0.367288
0.660103,-0.353969
0.665512,-0.340361
0.669945,-0.326466
0.673397,-0.312287
0.675867,-0.297826
0.677353,-0.283085
0.677856,-0.268068
0.67738,-0.252778
0.675929,-0.237221
0.673509,-0.221401
0.670129,-0.205324
0.665798,-0.188996
0.660527,-0.172425
0.654329,-0.155617
0.64722,-0.138582
0.639214,-0.121329
0.630329,-0.103867
0.620585,-0.0862085
0.610002,-0.0683638
0.5986,-0.0503457
0.586404,-0.0321676
0.573436,-0.0138436
0.559723,0.00461143
0.545289,0.0231817
0.530163,0.0418506
0.514373,0.0606006
0.497946,0.0794137
0.480914,0.0982707
0.463306,0.117152
0.445153,0.136037
0.426487,0.154904
0.407339,0.173732
0.387743,0.192497
0.36773,0.211177
0.347334,0.229748
0.326588,0.248185
0.305524,0.266463
0.284177,0.284557
0.262578,0.302442
0.240762,0.32009
0.21876,0.337475
0.196606,0.354571
0.174332,0.371351
0.151969,0.387787
0.129548,0.403853
0.107101,0.41952
0.0846571,0.434762
0.0622466,0.449552
0.0398981,0.463863
0.0176398,0.477668
-0.00450088,0.490941
-0.0264975,0.503656
-0.0483244,0.515787
-0.0699567,0.527309
-0.0913706,0.538198
-0.112543,0.548429
-0.133453,0.557981
-0.154078,0.566831
-0.1744,0.574956
-0.194399,0.582338
-0.214057,0.588955
-0.233358,0.594791
-0.252287,0.599826
-0.270828,0.604046
-0.288969,0.607435
-0.306697,0.609979
-0.324,0.611666
-0.340869,0.612485
-0.357293,0.612427
-0.373266,0.611482
-0.388779,0.609645
-0.403827,0.606911
-0.418404,0.603275
-0.432506,0.598736
-0.446129,0.593294
-0.45927,0.586949
-0.471929,0.579705
-0.484103,0.571566
-0.495793,0.562539
-0.506999,0.552632
-0.517722,0.541854
-0.527964,0.530216
-0.537728,0.517733
-0.547015,0.504418
-0.555829,0.490287
-0.564175,0.475359
-0.572056,0.459654
-0.579476,0.443192
-0.586442,0.425996
-0.592957,0.408091
-0.599027,0.389502
-0.604658,0.370256
-0.609854,0.350382
-0.614623,0.32991
-0.618969,0.30887
-0.622898,0.287295
-0.626416,0.265219
-0.629529,0.242675
-0.632242,0.2197
-0.63456,0.19633
-0.636489,0.172602
-0.638033,0.148555
-0.639197,0.124227
-0.639986,0.0996583
-0.640404,0.0748886
-0.640455,0.0499585
-0.640141,0.0249091
-0.639468,-0.000218377
-0.638436,-0.0253825
-0.63705,-0.0505415
-0.63531,-0.0756538
-0.633219,-0.100678
-0.630779,-0.125572
-0.627989,-0.150294
-0.624851,-0.174805
-0.621365,-0.199063
-0.617531,-0.223027
-0.613349,-0.246659
-0.608818,-0.26992
-0.603936,-0.292771
-0.598703,-0.315175
-0.593117,-0.337095
-0.587177,-0.358495
-0.580879,-0.379342
-0.574222,-0.399602
-0.567204,-0.419241
-0.559822,-0.43823
-0.552074,-0.456539
-0.543957,-0.474138
-0.535468,-0.491002
-0.526605,-0.507103
-0.517365,-0.52242
-0.507746,-0.536927
-0.497747,-0.550606
-0.487364,-0.563436
-0.476595,-0.575399
-0.465441,-0.586481
-0.453899,-0.596665
-0.441968,-0.60594
-0.429648,-0.614296
-0.41694,-0.621721
-0.403844,-0.62821
-0.39036,-0.633757
-0.376491,-0.638358
-0.362239,-0.64201
-0.347607,-0.644714
-0.332599,-0.64647
-0.317219,-0.647281
-0.301471,-0.647153
-0.285363,-0.646092
-0.268901,-0.644105
-0.252093,-0.641202
-0.234946,-0.637394
-0.217471,-0.632693
-0.199677,-0.627115
-0.181576,-0.620673
-0.16318,-0.613386
-0.144502,-0.60527
-0.125556,-0.596346
-0.106357,-0.586634
-0.0869205,-0.576156
-0.0672641,-0.564933
-0.0474053,-0.552991
-0.0273628,-0.540354
-0.00715631,-0.527046
0.0131936,-0.513096
0.0336655,-0.498529
0.0542371,-0.483373
0.0748853,-0.467657
0.095586,-0.451409
0.116315,-0.434659
0.137046,-0.417437
0.157753,-0.399771
0.17841,-0.381693
0.198989,-0.363232
0.219463,-0.344419
0.239802,-0.325285
0.259978,-0.305859
0.279962,-0.286171
0.299723,-0.266253
0.319233,-0.246132
0.338461,-0.225839
0.357376,-0.205404
0.375949,-0.184853
0.394149,-0.164216
0.411946,-0.14352
0.429309,-0.122792
0.446209,-0.102058
0.462616,-0.0813449
0.4785,-0.0606762
0.493833,-0.0400768
0.508586,-0.0195699
0.522732,0.000821907
0.536242,0.0210768
0.549091,0.0411741
0.561253,0.0610937
0.572703,0.0808166
0.583416,0.100325
0.593369,0.119601
0.602542,0.138629
0.610912,0.157393
0.61846,0.17588
0.625167,0.194075
0.631017,0.211967
0.635993,0.229544
0.640082,0.246796
0.643269,0.263712
0.645543,0.280284
0.646895,0.296504
0.647316,0.312365
0.646799,0.327861
0.645339,0.342987
0.642932,0.357737
0.639576,0.372109
0.635272,0.386098
0.630021,0.399702
0.623826,0.41292
0.616693,0.42575
0.608628,0.438191
0.59964,0.450243
0.589738,0.461906
0.578937,0.473182
0.567248,0.48407
0.554687,0.494573
0.541272,0.504692
0.527022,0.514429
0.511957,0.523786
0.496098,0.532766
0.479471,0.54137
0.462099,0.549603
0.44401,0.557465
0.425231,0.56496
0.405791,0.572091
0.385723,0.578859
0.365056,0.585267
0.343825,0.591318
0.322064,0.597014
0.299808,0.602355
0.277093,0.607345
0.253957,0.611985
0.230437,0.616274
0.206572,0.620216
0.182402,0.623809
0.157966,0.627054
0.133306,0.629951
0.108461,0.632499
0.083473,0.634698
0.0583838,0.636546
0.0332349,0.638042
0.0080678,0.639183
-0.0170757,0.639967
-0.0421542,0.640392
-0.0671262,0.640454
-0.0919506,0.64015
-0.116587,0.639475
-0.140994,0.638427
-0.165134,0.637001
-0.188966,0.635192
-0.212452,0.632995
-0.235555,0.630404
-0.258238,0.627416
-0.280465,0.624024
-0.302201,0.620223
-0.323412,0.616006
-0.344065,0.611369
-0.36413,0.606306
-0.383576,0.600811
-0.402374,0.594878
-0.420496,0.588501
-0.437917,0.581677
-0.454611,0.574398
-0.470556,0.566661
-0.485729,0.55846
-0.500112,0.549792
-0.513684,0.540653
-0.52643,0.531039
-0.538334,0.520946
-0.549382,0.510374
-0.559563,0.499319
-0.568867,0.48778
-0.577284,0.475757
-0.584809,0.46325
-0.591435,0.450259
-0.59716,0.436787
-0.601982,0.422835
-0.6059,0.408406
-0.608916,0.393506
-0.611033,0.378138
-0.612256,0.362309
-0.612591,0.346025
-0.612045,0.329295
-0.610628,0.312127
-0.60835,0.294532
-0.605224,0.27652
-0.601262,0.258103
-0.59648,0.239295
-0.590892,0.22011
-0.584517,0.200562
-0.577371,0.180669
-0.569476,0.160448
-0.56085,0.139916
-0.551514,0.119095
-0.541492,0.0980034
-0.530805,0.0766637
-0.519477,0.0550984
-0.507533,0.0333311
-0.494998,0.0113861
-0.481895,-0.0107111
-0.468253,-0.0329342
-0.454096,-0.0552561
-0.439452,-0.077649
-0.424347,-0.100084
-0.408808,-0.122532
-0.392863,-0.144963
-0.376539,-0.167346
-0.359862,-0.189651
-0.342861,-0.211845
-0.325561,-0.233896
-0.307991,-0.255773
-0.290176,-0.277442
-0.272143,-0.29887
-0.253918,-0.320025
-0.235527,-0.340873
-0.216994,-0.361381
-0.198344,-0.381516
-0.179601,-0.401245
-0.160789,-0.420535
-0.14193,-0.439355
-0.123047,-0.457671
-0.104161,-0.475452
-0.0852923,-0.492667
-0.0664619,-0.509285
-0.0476887,-0.525277
-0.0289911,-0.540613
-0.0103869,-0.555266
0.00810727,-0.569207
0.0264752,-0.58241
0.0447018,-0.59485
0.0627725,-0.606502
0.080674,-0.617343
0.0983934,-0.627352
0.115919,-0.636507
0.133239,-0.644789
0.150345,-0.652181
0.167225,-0.658665
0.183872,-0.664227
0.200278,-0.668854
0.216435,-0.672532
0.232336,-0.675254
0.247977,-0.677008
0.263351,-0.67779
0.278454,-0.677593
0.293282,-0.676415
0.307831,-0.674253
0.322099,-0.671108
0.336083,-0.666981
0.34978,-0.661877
0.36319,-0.655801
0.376311,-0.64876
0.389141,-0.640764
0.401681,-0.631823
0.413929,-0.62195
0.425885,-0.611159
0.437549,-0.599466
0.448921,-0.58689
0.46,-0.57345
0.470788,-0.559167
0.481283,-0.544063
0.491486,-0.528164
0.501397,-0.511494
0.511016,-0.494081
0.520341,-0.475953
0.529372,-0.457141
0.53811,-0.437676
0.546551,-0.417589
0.554696,-0.396916
0.562542,-0.375689
0.570088,-0.353945
0.577332,-0.331721
0.58427,-0.309053
0.590899,-0.28598
0.597217,-0.262541
0.60322,-0.238775
0.608903,-0.214722
0.614261,-0.190423
0.619291,-0.165918
0.623986,-0.141247
0.628341,-0.116453
0.632349,-0.0915769
0.636005,-0.0666592
0.639301,-0.0417413
0.64223,-0.0168643
0.644785,0.00793106
0.646957,0.0326045
0.648739,0.0571162
0.650122,0.0814265
0.651098,0.105497
0.651658,0.129288
0.651792,0.152765
0.651493,0.175888
0.65075,0.198624
0.649555,0.220937
0.647899,0.242793
0.645771,0.264161
0.643164,0.285007
0.640067,0.305303
0.636474,0.325018
0.632374,0.344126
0.627759,0.3626
0.622623,0.380414
0.616956,0.397547
0.610752,0.413974
0.604004,0.429677
0.596707,0.444635
0.588853,0.458832
0.580439,0.472251
0.57146,0.484879
0.561912,0.496702
0.551793,0.507709
0.5411,0.517892
0.529832,0.527242
0.517988,0.535753
0.50557,0.543419
0.492579,0.55024
0.479017,0.556211
0.464888,0.561335
0.450196,0.565611
0.434947,0.569044
0.419148,0.571638
0.402807,0.573398
0.385932,0.574332
0.368535,0.574449
0.350626,0.573758
0.332217,0.57227
0.313324,0.569999
0.29396,0.566957
0.274142,0.56316
0.253888,0.558622
0.233215,0.553361
0.212144,0.547393
0.190695,0.540739
0.168891,0.533416
0.146754,0.525445
0.124309,0.516847
0.101581,0.507642
0.0785968,0.497853
0.0553829,0.487501
0.0319678,0.47661
0.00838077,0.465203
-0.0153483,0.453303
-0.0391885,0.440933
-0.0631083,0.428117
-0.0870755,0.41488
-0.111057,0.401245
-0.13502,0.387235
-0.158929,0.372875
-0.182751,0.358189
-0.206451,0.343199
-0.229993,0.32793
-0.253343,0.312403
-0.276464,0.296641
-0.299321,0.280668
-0.321879,0.264503
-0.344101,0.24817
-0.365953,0.231688
-0.387398,0.215078
-0.408403,0.198359
-0.428933,0.181552
-0.448953,0.164673
-0.46843,0.147741
-0.487332,0.130773
-0.505625,0.113786
-0.523279,0.0967954
-0.540262,0.079816
-0.556545,0.0628625
-0.5721,0.0459483
-0.586899,0.0290866
-0.600915,0.0122894
-0.614123,-0.00443178
-0.626498,-0.0210661
-0.638019,-0.0376034
-0.648664,-0.0540343
-0.658412,-0.07035
-0.667247,-0.0865425
-0.675149,-0.102604
-0.682105,-0.118528
-0.688101,-0.134308
-0.693125,-0.149938
-0.697166,-0.165413
-0.700216,-0.180729
-0.702268,-0.19588
-0.703317,-0.210863
-0.70336,-0.225674
-0.702396,-0.24031
-0.700424,-0.254769
-0.697448,-0.269047
-0.693471,-0.283143
-0.6885,-0.297053
-0.682541,-0.310777
-0.675606,-0.324311
-0.667704,-0.337655
-0.658849,-0.350806
-0.649057,-0.363762
-0.638343,-0.376522
-0.626726,-0.389083
-0.614226,-0.401444
-0.600864,-0.413602
-0.586664,-0.425555
-0.571651,-0.437299
-0.555849,-0.448833
-0.539287,-0.460153
-0.521994,-0.471255
-0.503999,-0.482135
-0.485335,-0.49279
-0.466033,-0.503214
-0.446128,-0.513404
-0.425653,-0.523352
-0.404644,-0.533054
-0.383139,-0.542503
-0.361172,-0.551693
-0.338784,-0.560617
-0.316012,-0.569266
-0.292894,-0.577633
-0.269472,-0.585709
-0.245783,-0.593486
-0.221869,-0.600954
-0.197769,-0.608103
-0.173525,-0.614923
-0.149175,-0.621404
-0.124762,-0.627534
-0.100323,-0.633303
-0.075901,-0.638699
-0.0515337,-0.64371
-0.0272607,-0.648324
-0.00312086,-0.652528
0.0208478,-0.656311
0.0446078,-0.659659
0.0681223,-0.662559
0.0913553,-0.665
0.114272,-0.666967
0.136837,-0.668448
0.159018,-0.669431
0.180783,-0.669903
0.202101,-0.66985
0.222941,-0.669262
0.243275,-0.668126
0.263075,-0.66643
